max_depth	min_split	vminbucket	vcp	ganancia_promedio
10	640	160	-0.1	48446000
10	640	213.333333333333	-0.1	49192000
10	640	320	-0.1	49468000
10	640	10	-0.1	47576000
10	640	5	-0.1	48198000
10	640	2	-0.1	48684000
10	640	160	0	0
10	640	213.333333333333	0	0
10	640	320	0	0
10	640	10	0	0
10	640	5	0	38682000
10	640	2	0	43150000
12	10	2.5	-0.5	36024000
12	10	3.33333333333333	-0.5	32984000
12	10	5	-0.5	32442000
12	10	10	-0.5	32808000
12	10	5	-0.5	32442000
12	10	2	-0.5	36024000
12	10	2.5	-0.3	36024000
12	10	3.33333333333333	-0.3	32984000
12	10	5	-0.3	32442000
12	10	10	-0.3	32808000
12	10	5	-0.3	32442000
12	10	2	-0.3	36024000
12	10	2.5	-0.1	36024000
12	10	3.33333333333333	-0.1	32984000
12	10	5	-0.1	32442000
12	10	10	-0.1	32808000
12	10	5	-0.1	32442000
12	10	2	-0.1	36024000
12	10	2.5	0	41662000
12	10	3.33333333333333	0	41176000
12	10	5	0	40676000
12	10	10	0	43560000
12	10	5	0	40676000
12	10	2	0	41662000
12	20	5	-0.5	35478000
12	20	6.66666666666667	-0.5	36854000
12	20	10	-0.5	32808000
12	20	10	-0.5	32808000
12	20	5	-0.5	35478000
12	20	2	-0.5	38592000
12	20	5	-0.3	35478000
12	20	6.66666666666667	-0.3	36854000
12	20	10	-0.3	32808000
12	20	10	-0.3	32808000
12	20	5	-0.3	35478000
12	20	2	-0.3	38592000
12	20	5	-0.1	35478000
12	20	6.66666666666667	-0.1	36854000
12	20	10	-0.1	32808000
12	20	10	-0.1	32808000
12	20	5	-0.1	35478000
12	20	2	-0.1	38592000
12	20	5	0	43714000
12	20	6.66666666666667	0	44166000
12	20	10	0	43560000
12	20	10	0	43560000
12	20	5	0	43714000
12	20	2	0	44310000
12	40	10	-0.5	37008000
12	40	13.3333333333333	-0.5	36052000
12	40	20	-0.5	38234000
12	40	10	-0.5	37008000
12	40	5	-0.5	39026000
12	40	2	-0.5	41916000
12	40	10	-0.3	37008000
12	40	13.3333333333333	-0.3	36052000
12	40	20	-0.3	38234000
12	40	10	-0.3	37008000
12	40	5	-0.3	39026000
12	40	2	-0.3	41916000
12	40	10	-0.1	37008000
12	40	13.3333333333333	-0.1	36052000
12	40	20	-0.1	38234000
12	40	10	-0.1	37008000
12	40	5	-0.1	39026000
12	40	2	-0.1	41916000
12	40	10	0	45528000
